role_id,module_name,feature_action,permission,operation_type
EMP,Employee Profiles,view_own_profile,YES,override
EMP,Employee Profiles,edit_own_basic_info,YES,override
EMP,Employee Profiles,edit_own_role_salary_cpf,NO,override
EMP,Employee Profiles,view_team_profiles,NO,override
EMP,Employee Profiles,view_all_profiles,NO,override
EMP,Employee Profiles,view_salary_history,NO,override
EMP,Employee Profiles,view_audit_log,NO,override
EMP,Employee Profiles,export_employee_data,NO,override
EMP,Employee Profiles,add_remove_employees,NO,override
EMP,Employee Profiles,upload_own_cv,YES,override
EMP,Employee Profiles,upload_any_cv,NO,override
EMP,Vacations,submit_leave_request,YES,override
EMP,Vacations,view_own_balance,YES,override
EMP,Vacations,view_own_history,YES,override
EMP,Vacations,cancel_own_request,YES,override
EMP,Vacations,approve_team_requests,NO,override
EMP,Vacations,view_team_calendar,NO,override
EMP,Vacations,view_dept_trends,NO,override
EMP,Vacations,view_org_calendar,NO,override
EMP,Vacations,adjust_balances,NO,override
EMP,Vacations,override_requests,NO,override
EMP,Vacations,configure_leave_types,NO,override
EMP,Vacations,export_leave_reports,NO,override
EMP,Vacations,setup_auto_approval,NO,override
EMP,Reviews,view_own_reviews,YES,override
EMP,Reviews,initiate_self_review,YES,override
EMP,Reviews,view_team_reviews,NO,override
EMP,Reviews,create_review_direct_report,NO,override
EMP,Reviews,schedule_reviews,NO,override
EMP,Reviews,add_private_feedback,NO,override
EMP,Reviews,add_shared_feedback,YES,override
EMP,Reviews,edit_delete_reviews,NO,override
EMP,Reviews,view_any_review_history,NO,override
EMP,Reviews,configure_review_templates,NO,override
EMP,Reviews,set_review_cycles,NO,override
EMP,Reviews,export_review_data,NO,override
EMP,Reviews,attach_documents,YES,override
EMP,Onboarding,view_own_tasks,YES,override
EMP,Onboarding,complete_own_tasks,YES,override
EMP,Onboarding,view_team_status,NO,override
EMP,Onboarding,create_checklist_templates,NO,override
EMP,Onboarding,assign_tasks,NO,override
EMP,Onboarding,track_all_onboarding,NO,override
EMP,Onboarding,view_overdue_dashboard,NO,override
EMP,Onboarding,initiate_offboarding,NO,override
EMP,Onboarding,approve_offboarding,NO,override
EMP,Onboarding,configure_templates,NO,override
EMP,Onboarding,send_reminders,NO,override
EMP,Training,view_own_history,YES,override
EMP,Training,add_own_training,YES,override
EMP,Training,upload_own_certificates,YES,override
EMP,Training,view_team_history,NO,override
EMP,Training,view_all_records,NO,override
EMP,Training,track_own_budget,YES,override
EMP,Training,track_team_budget,NO,override
EMP,Training,track_dept_budget,NO,override
EMP,Training,approve_training_requests,NO,override
EMP,Training,configure_budget,NO,override
EMP,Training,log_peer_sessions,YES,override
EMP,Training,view_peer_incentives,YES,override
EMP,Training,export_training_reports,NO,override
EMP,Compensation,view_own_compensation,YES,override
EMP,Compensation,view_team_compensation,NO,override
EMP,Compensation,view_all_compensation,NO,override
EMP,Compensation,submit_bonus_nomination,NO,override
EMP,Compensation,approve_bonus_nominations,NO,override
EMP,Compensation,track_monthly_bonuses,NO,override
EMP,Compensation,track_one_time_bonuses,NO,override
EMP,Compensation,view_bonus_payouts,YES,override
EMP,Compensation,configure_bonus_types,NO,override
EMP,Compensation,export_payroll,NO,override
EMP,Compensation,view_audit_trail,NO,override
EMP,Compensation,adjust_salary_bands,NO,override
EMP,Feedback,submit_anonymous_feedback,YES,override
EMP,Feedback,submit_named_feedback,YES,override
EMP,Feedback,view_own_feedback,YES,override
EMP,Feedback,participate_pulse_surveys,YES,override
EMP,Feedback,create_surveys,NO,override
EMP,Feedback,view_team_survey_results,NO,override
EMP,Feedback,view_dept_survey_results,NO,override
EMP,Feedback,view_org_survey_results,NO,override
EMP,Feedback,view_anonymous_details,NO,override
EMP,Feedback,export_survey_data,NO,override
EMP,Feedback,configure_survey_templates,NO,override
EMP,Feedback,setup_pulse_checks,NO,override
EMP,Feedback,view_sentiment_analysis,NO,override
EMP,Feedback,receive_negative_alerts,NO,override
EMP,Time Tracking,log_own_hours,YES,override
EMP,Time Tracking,view_own_timesheet,YES,override
EMP,Time Tracking,edit_own_hours,YES,override
